date,open,high,low,close
6/29/1983,0.837,0.8861,0.817,0.8771
6/30/1983,0.8771,0.8929,0.8682,0.8729
7/1/1983,0.8729,0.8884,0.8682,0.8795
7/5/1983,0.8795,0.8818,0.8416,0.8438
7/6/1983,0.8438,0.8482,0.828,0.8459
7/7/1983,0.8459,0.8482,0.8304,0.8348
7/8/1983,0.8348,0.8348,0.8214,0.8259
7/11/1983,0.8259,0.8616,0.8259,0.8482
7/12/1983,0.8482,0.8571,0.8236,0.828
7/13/1983,0.828,0.8304,0.8104,0.8236
7/14/1983,0.8236,0.837,0.817,0.8214
7/15/1983,0.8214,0.8214,0.788,0.7923
7/18/1983,0.7923,0.7946,0.7723,0.7902
7/19/1983,0.7902,0.828,0.7745,0.7813
7/20/1983,0.7813,0.788,0.7277,0.7366
7/21/1983,0.7366,0.7923,0.7321,0.7745
7/22/1983,0.7745,0.7834,0.7723,0.7813
7/25/1983,0.7813,0.7813,0.7589,0.7702
7/26/1983,0.7702,0.7745,0.6696,0.6986
7/27/1983,0.6986,0.7209,0.6384,0.6473
7/28/1983,0.6473,0.6563,0.6071,0.6071
7/29/1983,0.6071,0.6295,0.6048,0.6229
8/1/1983,0.6229,0.6495,0.6116,0.6161
8/2/1983,0.6161,0.625,0.6116,0.6139
8/3/1983,0.6139,0.6361,0.6048,0.6229
8/4/1983,0.6229,0.6295,0.567,0.5938
8/5/1983,0.5938,0.6161,0.5893,0.6048
8/8/1983,0.6048,0.6205,0.5916,0.6071
8/9/1983,0.6071,0.6229,0.6027,0.6139
8/10/1983,0.6139,0.6182,0.5982,0.6116
8/11/1983,0.6116,0.6205,0.5938,0.6027
8/12/1983,0.6027,0.6161,0.5916,0.5982
8/15/1983,0.5982,0.6139,0.5959,0.6139
8/16/1983,0.6139,0.6205,0.5982,0.6048
8/17/1983,0.6048,0.6116,0.5848,0.5916
8/18/1983,0.5916,0.6048,0.5893,0.5982
8/19/1983,0.5982,0.6071,0.5938,0.6027
8/22/1983,0.6027,0.6095,0.5938,0.6005
8/23/1983,0.6005,0.6005,0.5646,0.5693
8/24/1983,0.567,0.567,0.538,0.5402
8/25/1983,0.5402,0.5491,0.5357,0.5446
8/26/1983,0.5446,0.5536,0.5402,0.5514
8/29/1983,0.5514,0.5646,0.5357,0.558
8/30/1983,0.558,0.5982,0.558,0.587
8/31/1983,0.5916,0.6652,0.5916,0.6652
9/1/1983,0.6652,0.6875,0.6339,0.6495
9/2/1983,0.6495,0.6786,0.6473,0.6786
9/6/1983,0.692,0.7098,0.692,0.703
9/7/1983,0.7009,0.7009,0.6048,0.6182
9/8/1983,0.6182,0.625,0.558,0.567
9/9/1983,0.567,0.5693,0.5446,0.547
9/12/1983,0.547,0.5804,0.5402,0.547
9/13/1983,0.547,0.5804,0.5423,0.5714
9/14/1983,0.5714,0.5848,0.5536,0.5646
9/15/1983,0.5646,0.567,0.5313,0.538
9/16/1983,0.538,0.538,0.5202,0.5245
9/19/1983,0.5245,0.5759,0.5223,0.5714
9/20/1983,0.5714,0.5982,0.5714,0.5736
9/21/1983,0.5736,0.5827,0.5604,0.5625
9/22/1983,0.5625,0.5827,0.5557,0.5804
9/26/1983,0.462,0.462,0.4354,0.4443
9/27/1983,0.4443,0.4464,0.4107,0.4196
9/28/1983,0.4196,0.4196,0.3952,0.4084
9/29/1983,0.4084,0.4241,0.4041,0.4063
9/30/1983,0.4063,0.422,0.4018,0.413
10/3/1983,0.413,0.4196,0.4041,0.413
10/4/1983,0.413,0.422,0.4063,0.4084
10/5/1983,0.4084,0.4152,0.3952,0.4018
10/6/1983,0.4018,0.4084,0.3884,0.3973
10/7/1983,0.3973,0.4241,0.3595,0.3639
10/10/1983,0.3595,0.3595,0.328,0.3527
10/11/1983,0.3527,0.3548,0.3416,0.3459
10/12/1983,0.3459,0.3795,0.3438,0.3771
10/13/1983,0.3884,0.4286,0.3884,0.4107
10/14/1983,0.4107,0.4241,0.4018,0.4063
10/17/1983,0.4063,0.4063,0.3729,0.375
10/18/1983,0.3705,0.3705,0.337,0.3459
10/19/1983,0.3459,0.3973,0.3416,0.3839
10/20/1983,0.3839,0.3952,0.3548,0.3639
10/21/1983,0.3639,0.3729,0.3505,0.3548
10/24/1983,0.3548,0.3771,0.3193,0.3771
10/25/1983,0.3771,0.3905,0.375,0.3795
10/26/1983,0.3795,0.3839,0.3571,0.3595
10/27/1983,0.3595,0.3861,0.3595,0.3771
10/28/1983,0.3771,0.3818,0.3639,0.3729
10/31/1983,0.3771,0.4107,0.3771,0.4041
